filename	product	landing_url	image_url
lexus-lx.jpg	Matchbox 2022 Lexus LX	https://kinderlogs.in/products/matchbox-moving-parts-2022-lexus-lx	https://kinderlogs.in/cdn/shop/files/matchbox-moving-parts-2022-lexus-lx-suv-566603.jpg?v=1719203696
volkswagen-beetle.jpg	Matchbox 1962 Volkswagen Beetle	https://leksaksbilar.se/sv/products/1962-volkswagen-beetle-gron-power-grab-matchbox	https://d3dnwnveix5428.cloudfront.net/store_f6ee1f9e-7f74-40ad-8870-7bea20681510/images/1Ef7pBcwlgC5G6I1713108856.jpeg
ford-custom-300.jpg	Matchbox 1957 Ford Custom 300	https://www.walmart.com/ip/5271448695	https://i5.walmartimages.com/seo/Matchbox-Metal-70-Years-2022-Red-1957-Ford-Custom-300-Toy-Car-21-100_818001bb-507d-40d9-9cf4-f65e1981c60e.9db61cc342cf61862fc6b6ff8a8fd7c7.jpeg
datsun-510-rally.jpg	Matchbox 1970 Datsun 510 Rally	https://carolinasdiecast.com/products/2025-matchbox-51-70-datsun-510-rally-light-blue	https://carolinasdiecast.com/cdn/shop/files/F27D7160-D360-4B74-AD15-70FB0EF2449A.jpg?v=1734803457&width=1946
jeep-renegade.jpg	Matchbox 2019 Jeep Renegade	https://topcollectibles.com/products/matchbox-2019-jeep-renegade-2024-european-streets-series	https://topcollectibles.com/cdn/shop/files/matchbox-2019-jeep-renegade-2024-european-streets-seriesdiecastmatchbox-691820.jpg?v=1729396908
volkswagen-golf-country.jpg	Matchbox 1990 Volkswagen Golf Country	https://universohotwheels.com.br/product-page/matchbox-off-road-rally-90-volkswagen-golf-country/	https://universohotwheels.com.br/wp-content/uploads/2024/07/1000051598.jpg
ford-f550.jpg	Matchbox Ford F-550 Super Duty	https://speedcastings.com/products/matchbox-ford-f-550-super-duty	https://speedcastings.com/cdn/shop/files/Matchbox-FordF-550SuperDuty.png?v=1746325140
ford-police-interceptor.jpg	Matchbox Ford Police Interceptor Utility	https://www.igraceshop.si/Matchbox-Ford-Police-Interceptor-Utility-avtomobilcek-1-64--Mattel.html	https://www.igraceshop.si/upload_files/products/Matchbox-Ford-Police-Interceptor-Utility-avtomobilcek-1-64--Mattel-1.webp
garbage-king.jpg	Matchbox Garbage King	https://ignitiondiecast.com/products/matchbox-2025-099-125-garbage-king-red-dark-red	https://ignitiondiecast.com/cdn/shop/files/s-l1600_8_486ba6ee-2dfc-4d16-9def-f5027097c13e.webp?v=1764192211&width=1445
blaze-blaster.jpg	Matchbox Blaze Blaster III	https://www.blasterchile.cl/products/blaze-blaster-iii-13-125-2025-matchbox	https://www.blasterchile.cl/cdn/shop/files/Blaze_Blaster_III_listo.webp?v=1743610650
ram-ambulance.jpg	Matchbox 2019 Ram Ambulance	https://www.walmart.com/ip/1702189364	https://i5.walmartimages.com/seo/Matchbox-2019-Ram-Ambulance-Moving-Parts-26-54_aa6e5dcf-3936-4d10-91dd-534ca2c0ebe4.c63146f8b92d79ca5c3aed6506156329.jpeg
tesla-cybertruck.jpg	Matchbox Tesla Cybertruck	https://www.walmart.com/ip/17946420159	https://i5.walmartimages.com/seo/Matchbox-Tesla-Cybertruck-Moving-Parts-New-2025_f4bbdc40-26a9-46a5-9615-24c1842957de.ec749e5191673adc62d6b0b5239ffa6c.webp?odnBg=FFFFFF&odnHeight=768&odnWidth=768
ev-school-bus.jpg	Matchbox MBX EV School Bus	https://www.walmart.com/ip/15972165323	https://i5.walmartimages.com/seo/Matchbox-MBX-EV-School-Bus-Diecast-Car_32dc47a1-9e28-4f9c-b11e-6a9fd87e8f11.5a0989a9a8ad7c32316720048f9d4389.jpeg
